"","x"
"X20aa07010",0.0111386573900057
"ad207f7bb",0.00184444205801665
"X6d2ece683",0.0249343483894939
"X26fc93eb7",0.00858757111029742
"X6eef030c1",0.0241585425220415
"d4c1de0e2",0.00238383272032136
"X5bc7ab64f",0.0408934775047174
"X58e2e02e6",0.0507221934684111
"X9fd594eec",0.0568160006482668
"ba4ceabc5",0.0210264814202018
"eeb9cd3aa",0.0222203091782048
"X96b6bd42b",0.0247870241428552
"X58232a6fb",0.00679996095215235
"f190486d6",0.0576793271868232
"f74e8f13d",0.0186961035082164
"X9d5c7cb94",0.00468596198626822
"X1702b5bf0",0.0166975331666541
"f1851d155",0.0113996021017948
"X555f18bd3",0.107085298026752
"ddea5dc65",0.020672057618334
